address,orientation,distance_m
"UNIT 4, 5-17 PACIFIC HIGHWAY",West,3041.8
"UNIT 40, 5-17 PACIFIC HIGHWAY",West,3017.1
"UNIT 42, 5-17 PACIFIC HIGHWAY",West,3019.0
61 DUNTROON AVENUE,North,2212.56
63 DUNTROON AVENUE,North,2206.58
"UNIT 5, 55 PACIFIC HIGHWAY",West,3171.54
"UNIT 7, 55 PACIFIC HIGHWAY",West,3171.54
2 TRAFALGAR AVENUE,West,3395.12
21 TRAFALGAR AVENUE,West,3561.37
23 TRAFALGAR AVENUE,West,3584.56
68 PACIFIC HIGHWAY,West,3245.84
70 PACIFIC HIGHWAY,West,3251.11
72 PACIFIC HIGHWAY,West,3256.47
76 PACIFIC HIGHWAY,West,3265.2
79-81 PACIFIC HIGHWAY,West,3240.11
83 PACIFIC HIGHWAY,West,3252.93
84A PACIFIC HIGHWAY,West,3288.78
86 PACIFIC HIGHWAY,West,3294.1
89 PACIFIC HIGHWAY,West,3294.36
90 PACIFIC HIGHWAY,West,3305.5
101 MACQUARIE STREET,West,2322.1
109 MACQUARIE STREET,West,2361.34
111 MACQUARIE STREET,West,2379.09
74 MACQUARIE STREET,West,2297.66
960 PACIFIC HIGHWAY,West,3041.14
18 WARRANE ROAD,North,2092.28
20 WARRANE ROAD,North,2219.16
"UNIT 7, 10 VICTORIA STREET",West,2964.78
11 VICTORIA STREET,West,2866.43
12 VICTORIA STREET,West,2962.16
14 VICTORIA STREET,West,2937.83
17 PARK AVENUE,North,2633.11
18 PARK AVENUE,North,2696.37
44 VICTORIA STREET,West,2719.44
45 VICTORIA STREET,West,2687.56
24 WILLIAM STREET,West,2141.17
27 WILLIAM STREET,West,2340.23
30 WILLIAM STREET,West,2183.51
85 BABBAGE ROAD,North,2334.68
87 BABBAGE ROAD,North,2314.33
88 BABBAGE ROAD,North,2316.06
89 BABBAGE ROAD,North,2294.55
91 BABBAGE ROAD,North,2271.3
92 BABBAGE ROAD,North,2355.09
93 BABBAGE ROAD,North,2254.49
"UNIT 21, 184 PACIFIC HIGHWAY",West,3683.01
"UNIT 25, 184 PACIFIC HIGHWAY",West,3683.01
56 GRIFFITH AVENUE,North,2426.11
58 GRIFFITH AVENUE,North,2431.5
59 GRIFFITH AVENUE,North,2401.21
6 GRIFFITH AVENUE,North,2028.12
61 GRIFFITH AVENUE,North,2419.68
182 PACIFIC HIGHWAY,West,3658.09
11 THE QUARTERDECK,North,484.03
105A BOUNDARY STREET,North,2267.69
19 ARTARMON ROAD,North,1202.34
15 ARTARMON ROAD,North,1176.09
2 HORSLEY AVENUE,West,858.37
53 PENSHURST STREET,North,904.36
54 PENSHURST STREET,North,971.07
55 PENSHURST STREET,North,904.42
20 WINDSOR ROAD,North,102.91
21 WINDSOR ROAD,South-West,92.28
4 WINDSOR ROAD,North,35.81
3 PENSHURST STREET,North,959.33
52 PENSHURST STREET,North,971.88
69 PENSHURST STREET,North,905.76
7 PENSHURST STREET,North,954.79
1 ZARA ROAD,North,1205.14
2 ZARA ROAD,North,1220.44
3 ZARA ROAD,North,1218.83
7 ZARA ROAD,North,1248.61
8 ZARA ROAD,North,1263.3
64 EDINBURGH ROAD,North,67.88
72 EDINBURGH ROAD,North,59.01
74 EDINBURGH ROAD,North,59.08
8 EDINBURGH ROAD,North,363.59
18A NARDOO ROAD,North,1364.5
18 NARDOO ROAD,North,1384.33
11 NARDOO ROAD,North,1304.56
13 NARDOO ROAD,North,1319.3
16 NARDOO ROAD,North,1353.08
3 NARDOO ROAD,North,1247.32
4 NARDOO ROAD,North,1266.26
6 NARDOO ROAD,North,1280.7
7 NARDOO ROAD,North,1275.27
8 NARDOO ROAD,North,1294.97
9 NARDOO ROAD,North,1290.03
"UNIT 2, 90B PACIFIC HIGHWAY",West,3305.5
"UNIT 2, 96 PACIFIC HIGHWAY",West,3322.26
"UNIT 3, 92 PACIFIC HIGHWAY",West,3311.25
70B PACIFIC HIGHWAY,West,3251.11
56 EDINBURGH ROAD,North,66.92
15 HARDEN AVENUE,North-West,458.68
29B HARDEN AVENUE,North-West,353.45
10 HARDEN AVENUE,South,499.42
89 WARRANE ROAD,North,809.83
"UNIT 11, 22 NEEWORRA ROAD",North-East,552.56
"UNIT 102, 16 ARTARMON ROAD",North,1314.32
8A LUCKNOW STREET,North,1264.29
"UNIT 103, 16 ARTARMON ROAD",North,1314.32
"UNIT 101, 16 ARTARMON ROAD",North,1314.32
"UNIT 301, 16 ARTARMON ROAD",North,1314.32
"UNIT 401, 16 ARTARMON ROAD",North,1314.32
"UNIT 306, 16 ARTARMON ROAD",North,1314.32
"UNIT 205, 16 ARTARMON ROAD",North,1314.32
